Rat Gene Symbol	Human Gene Symbol
LOC681077	NA
LOC681107	SPIN2A
LOC681107	SPIN2B
LOC681117	NA
LOC681177	NA
LOC681180	NA
LOC681182	PILRA
LOC681182	PILRB
LOC681186	NA
LOC681193	NA
LOC681241	C10orf67
LOC681266	PILRB
LOC681282	C8orf33
LOC681300	NA
LOC681303	NA
LOC681308	NA
LOC681325	NA
LOC681341	PILRA
LOC681341	PILRB
LOC681355	KCTD12
LOC681364	NA
LOC681367	C6orf226
LOC681382	CENPW
LOC681385	LCN1
LOC681385	OBP2A
LOC681385	OBP2B
LOC681410	HNRNPA0
LOC681426	NA
LOC681458	SCD
LOC681470	OR10J1
LOC681544	NA
LOC681871	NA
LOC681990	NA
LOC682042	OR5K1
LOC682102	C1orf94
LOC682206	ZNF267
LOC682206	ZNF850
LOC682225	NA
LOC682419	NA
LOC682526	NA
LOC682793	NA
LOC682827	NA
LOC682831	NA
LOC682961	NA
LOC683029	NA
LOC683212	NA
LOC683295	NA
LOC683313	KRT6A
LOC683408	NA
LOC683420	NA
LOC683422	NA
LOC683430	NA
LOC683469	ELOA3DP
LOC683508	NA
LOC683536	NA
LOC683600	NA
LOC683605	NA
LOC683674	C7orf26
LOC683761	NA
LOC683849	PRSS1
LOC683849	PRSS2
LOC683849	PRSS3
LOC683850	NA
LOC683961	NA
LOC684016	NA
LOC684084	NA
LOC684107	PRL
LOC684170	OR51F1
LOC684171	OR51H1
LOC684179	OR52I1
LOC684193	NA
LOC684208	OR51D1
LOC684270	ISOC2
LOC684327	ITIH5
LOC684327	ITIH5
LOC684365	NA
LOC684376	OR51H1
LOC684395	PRR23A
LOC684403	NA
LOC684444	NA
LOC684466	FAIM
LOC684471	NA
LOC684509	NDUFA3
LOC684526	NA
LOC684539	OR8K5
LOC684549	NA
LOC684683	OR5M11
LOC684709	TEDDM1
LOC684773	NA
LOC684792	C19orf85
LOC684797	NA
LOC684841	H3C10
LOC684871	TCIM
LOC684932	ZNF75D
LOC684988	RPS13
LOC684998	NA
LOC685016	NA
LOC685025	DDX21
LOC685025	DDX50
LOC685048	PILRB
LOC685067	GBP4
LOC685069	NA
LOC685081	SLC22A13
LOC685095	NA
LOC685125	NA
LOC685157	PILRA
LOC685157	PILRB
LOC685171	NA
LOC685181	PILRB
LOC685183	NA
LOC685184	NA
LOC685187	NA
LOC685199	NA
LOC685203	C2orf88
LOC685215	NA
LOC685226	NA
LOC685267	NA
LOC685275	NA
LOC685279	NA
LOC685291	NA
LOC685303	NA
LOC685321	PRSS29P
LOC685324	NA
LOC685351	NA
LOC685391	NA
LOC685406	NA
LOC685438	PILRB
LOC685463	NA
LOC685482	NA
LOC685488	NA
LOC685544	KRTAP5-8
LOC685590	PIK3CA
LOC685600	NA
LOC685619	TP53RK
LOC685655	NA
LOC685667	PRAMEF1
LOC685667	PRAMEF10
LOC685667	PRAMEF11
LOC685667	PRAMEF12
LOC685667	PRAMEF13
LOC685667	PRAMEF14
LOC685667	PRAMEF15
LOC685667	PRAMEF17
LOC685667	PRAMEF18
LOC685667	PRAMEF19
LOC685667	PRAMEF2
LOC685667	PRAMEF20
LOC685667	PRAMEF25
LOC685667	PRAMEF26
LOC685667	PRAMEF27
LOC685667	PRAMEF33
LOC685667	PRAMEF4
LOC685667	PRAMEF5
LOC685667	PRAMEF6
LOC685667	PRAMEF7
LOC685667	PRAMEF8
LOC685668	NA
LOC685680	C3orf52
LOC685699	NA
LOC685700	CXorf58
LOC685716	NA
LOC685733	NA
LOC685747	NA
LOC685762	NA
LOC685767	NA
LOC685782	NA
LOC685785	NA
LOC685788	NA
LOC685789	NA
LOC685790	NA
LOC685793	NA
LOC685796	NA
LOC685827	NA
LOC685828	NA
LOC685849	C9orf152
LOC685881	FAM241B
LOC685883	NA
LOC685907	PRAMEF1
LOC685907	PRAMEF10
LOC685907	PRAMEF11
LOC685907	PRAMEF12
LOC685907	PRAMEF13
LOC685907	PRAMEF14
LOC685907	PRAMEF15
LOC685907	PRAMEF17
LOC685907	PRAMEF18
LOC685907	PRAMEF19
LOC685907	PRAMEF2
LOC685907	PRAMEF20
LOC685907	PRAMEF25
LOC685907	PRAMEF26
LOC685907	PRAMEF27
LOC685907	PRAMEF33
LOC685907	PRAMEF4
LOC685907	PRAMEF5
LOC685907	PRAMEF6
LOC685907	PRAMEF7
LOC685907	PRAMEF8
LOC685933	TBC1D12
LOC685963	RPL38
LOC685964	C3orf22
LOC685989	NA
LOC686013	C19orf67
LOC686030	C2orf66
LOC686031	FANCD2OS
LOC686035	HSPA6
LOC686042	FANCD2OS
LOC686084	NA
LOC686087	MOSPD1
LOC686095	NA
LOC686129	NA
LOC686142	NA
LOC686143	C1orf68
LOC686172	NA
LOC686180	NA
LOC686209	NA
LOC686288	NA
LOC686324	NA
LOC686596	AQP10
LOC686632	NA
LOC686641	NA
LOC686658	NA
LOC686660	OR52W1
LOC686677	OR5D16
LOC686683	OR5D18
LOC686720	KRTAP10-1
LOC686720	KRTAP10-10
LOC686720	KRTAP10-11
LOC686720	KRTAP10-12
LOC686720	KRTAP10-2
LOC686720	KRTAP10-3
LOC686720	KRTAP10-4
LOC686720	KRTAP10-5
LOC686720	KRTAP10-6
LOC686720	KRTAP10-7
LOC686720	KRTAP10-8
LOC686720	KRTAP10-9
LOC686720	KRTAP4-5
LOC686720	KRTAP9-1
LOC686748	OR7G1
LOC686748	OR7G2
LOC686748	OR7G3
LOC686837	NA
LOC686900	NA
LOC686967	NA
LOC687035	NA
LOC687056	NA
LOC687065	OR4C15
LOC687082	OR5P3
LOC687088	OR5B17
LOC687088	OR5B2
LOC687088	OR5B3
LOC687092	OR5B17
LOC687097	OR5B17
LOC687104	NA
LOC687110	NA
LOC687119	NA
LOC687130	NA
LOC687345	NA
LOC687399	C16orf46
LOC687465	NA
LOC687508	COX7A1
LOC687532	NA
LOC687560	C16orf95
LOC687622	NA
LOC687631	KRTAP10-1
LOC687631	KRTAP10-10
LOC687631	KRTAP10-11
LOC687631	KRTAP10-12
LOC687631	KRTAP10-2
LOC687631	KRTAP10-3
LOC687631	KRTAP10-4
LOC687631	KRTAP10-5
LOC687631	KRTAP10-6
LOC687631	KRTAP10-7
LOC687631	KRTAP10-8
LOC687631	KRTAP10-9
LOC687631	KRTAP4-5
LOC687631	KRTAP9-1
LOC687679	SNRPGP15
LOC687707	C17orf107
LOC687721	NA
LOC687780	FAU
LOC687851	NA
LOC687869	NA
LOC687880	KLK1
LOC687881	NA
LOC687893	NA
LOC687896	OR1E1
LOC687896	OR1E2
LOC687896	OR1E3
LOC688022	NA
LOC688090	NA
LOC688126	C17orf67
LOC688171	NA
LOC688176	NA
LOC688282	C17orf99
LOC688286	NA
LOC688320	DCXR
LOC688321	NA
LOC688335	NA
LOC688340	TRAV8-1
LOC688362	NA
LOC688389	SLC7A13
LOC688390	NA
LOC688442	NA
LOC688459	C6orf141
LOC688542	NA
LOC688547	NA
LOC688553	C7orf57
LOC688583	HMGB3
LOC688613	NA
LOC688649	NA
LOC688657	NA
LOC688691	NA
LOC688702	NA
LOC688708	NA
LOC688739	NA
LOC688755	NA
LOC688765	C8orf48
LOC688778	ALDH3B1
LOC688801	CFAP97D2
LOC688828	NUDT16
LOC688839	NA
LOC688842	CXorf66
LOC688858	NA
LOC688893	TEX48
LOC688924	NA
LOC688925	NA
LOC688970	NA
LOC688981	AC135178.3
LOC688981	RPL26
LOC688981	RPL26L1
LOC689002	NA
LOC689039	C17orf50
LOC689065	C11orf86
LOC689081	CST9
LOC689130	FTH1
LOC689168	NA
LOC689173	SPOP
LOC689220	CST1
LOC689220	CST2
LOC689220	CST3
LOC689220	CST4
LOC689220	CST5
LOC689230	CSTA
LOC689258	NA
LOC689268	NA
LOC689271	NA
LOC689303	NA
LOC689346	NA
LOC689396	ELL2
LOC689406	NA
LOC689408	NA
LOC689412	DRAM2
LOC689437	NA
LOC689439	NA
LOC689453	NA
LOC689458	C5orf60
LOC689458	SPATA31A1
LOC689458	SPATA31A3
LOC689458	SPATA31A5
LOC689458	SPATA31A6
LOC689458	SPATA31A7
LOC689458	SPATA31C1
LOC689458	SPATA31C2
LOC689458	SPATA31E1
LOC689479	NA
LOC689488	NA
LOC689519	NA
LOC689520	NA
LOC689526	NA
LOC689569	C5orf60
LOC689569	SPATA31A1
LOC689569	SPATA31A3
LOC689569	SPATA31A5
LOC689569	SPATA31A6
LOC689569	SPATA31A7
LOC689569	SPATA31C1
LOC689569	SPATA31C2
LOC689569	SPATA31E1
LOC689587	NA
LOC689589	C1orf185
LOC689599	THEMIS2
LOC689600	NA
LOC689618	C20orf85
LOC689629	NA
LOC689679	NA
LOC689713	NA
LOC689725	C5orf60
LOC689725	SPATA31A1
LOC689725	SPATA31A3
LOC689725	SPATA31A5
LOC689725	SPATA31A6
LOC689725	SPATA31A7
LOC689725	SPATA31C1
LOC689725	SPATA31C2
LOC689725	SPATA31E1
LOC689730	USP17L8
LOC689757	CLEC2D
LOC689764	NA
LOC689766	C1orf100
LOC689770	NA
LOC689798	NA
LOC689800	NA
LOC689840	NA
LOC689927	KRTAP10-7
LOC689945	NA
LOC689955	NA
LOC689959	C11orf52
LOC689968	HAVCR1
LOC689986	C1orf146
LOC690000	C19orf12
LOC690020	NA
LOC690035	KIAA0586
LOC690045	NA
LOC690082	PWWP4
LOC690097	NA
LOC690114	C2orf78
LOC690126	H3C15
LOC690127	NA
LOC690140	NA
LOC690142	C12orf40
LOC690147	NA
LOC690155	NA
LOC690171	H3-2
LOC690182	NA
LOC690183	NA
LOC690190	NA
LOC690191	NA
LOC690206	NA
LOC690235	NUAK1
LOC690235	PLK3
LOC690246	NA
LOC690276	C2orf50
LOC690283	TAF5L
LOC690284	C2orf78
LOC690299	NA
LOC690309	NA
LOC690311	NA
LOC690319	NA
LOC690348	CTAG1A
LOC690348	CTAG1B
LOC690348	CTAG2
LOC690348	LAGE3
LOC690352	C2orf74
LOC690386	KRTAP10-1
LOC690386	KRTAP10-10
LOC690386	KRTAP10-11
LOC690386	KRTAP10-12
LOC690386	KRTAP10-2
LOC690386	KRTAP10-3
LOC690386	KRTAP10-4
LOC690386	KRTAP10-5
LOC690386	KRTAP10-6
LOC690386	KRTAP10-7
LOC690386	KRTAP10-8
LOC690386	KRTAP10-9
LOC690386	KRTAP4-5
LOC690386	KRTAP9-1
LOC690400	NA
LOC690410	NA
LOC690415	KRTAP10-7
LOC690418	NA
LOC690425	KRTAP10-8
LOC690431	KRTAP10-7
LOC690435	NA
LOC690460	KRTAP10-1
LOC690460	KRTAP10-10
LOC690460	KRTAP10-11
LOC690460	KRTAP10-12
LOC690460	KRTAP10-2
LOC690460	KRTAP10-3
LOC690460	KRTAP10-4
LOC690460	KRTAP10-5
LOC690460	KRTAP10-6
LOC690460	KRTAP10-7
LOC690460	KRTAP10-8
LOC690460	KRTAP10-9
LOC690460	KRTAP4-5
LOC690460	KRTAP9-1
LOC690467	NA
LOC690468	RPL38
LOC690478	KRTAP10-9
LOC690483	SIGLECL1
LOC690490	NA
LOC690507	NA
LOC690617	C19orf71
LOC690686	NA
LOC690700	NA
LOC690764	NA
LOC690784	C12orf71
LOC690813	IGKV4-1
LOC690821	OR7E24
LOC690826	PCDHB8
LOC690862	NA
LOC690948	LILRA6
LOC691030	HMGB4
LOC691033	NA
LOC691044	NA
LOC691074	NA
LOC691083	NA
LOC691110	AC113208.3
LOC691113	C2orf68
LOC691135	ZNF416
LOC691141	C19orf38
LOC691143	SAAL1
LOC691162	C1orf158
LOC691170	NA
LOC691189	C17orf98
LOC691196	AADACL3
LOC691196	AADACL4
LOC691215	NA
LOC691228	NA
LOC691249	NA
LOC691254	ZNF34
LOC691257	NA
LOC691272	SHOX
LOC691277	NA
LOC691280	NA
LOC691286	NA
LOC691311	NA
LOC691320	CYP4F11
LOC691320	CYP4F12
LOC691320	CYP4F2
LOC691320	CYP4F3
LOC691320	CYP4F8
LOC691325	VAX1
LOC691352	NA
LOC691354	C1orf127
LOC691368	NA
LOC691387	NA
LOC691392	NA
LOC691414	NA
LOC691418	C15orf62
LOC691422	NA
LOC691427	NA
LOC691485	C14orf180
LOC691495	NA
LOC691519	NA
LOC691520	NA
LOC691546	NA
LOC691551	NA
LOC691554	NA
LOC691592	NA
LOC691603	NA
LOC691642	NA
LOC691658	NA
LOC691661	ZSCAN4
LOC691670	GZMH
LOC691693	NA
LOC691695	GZMB
LOC691695	GZMH
LOC691712	NA
LOC691722	C19orf18
LOC691807	C4orf3
LOC691829	NA
LOC691850	NA
LOC691887	NA
LOC691888	NA
LOC691895	FTHL18
LOC691918	HAUS2
LOC691921	C12orf73
LOC691960	NA
LOC691970	DMBT1
LOC691988	NA
LOC691995	AC055839.2
Lonp1	LONP1
Lonp2	LONP2
Lonrf1	LONRF1
Lonrf2	LONRF2
Lonrf3	LONRF3
Loricrin	LORICRIN
Lox	LOX
Loxhd1	LOXHD1
Loxl1	LOXL1
Loxl2	LOXL2
Loxl3	LOXL3
Loxl4	LOXL4
Lpal2	LPAL2
Lpar1	LPAR1
Lpar2	LPAR2
Lpar3	LPAR3
Lpar4	LPAR4
Lpar5	LPAR5
Lpar6	LPAR6
Lpcat1	LPCAT1
Lpcat2	LPCAT2
Lpcat2b	LPCAT2
Lpcat3	LPCAT3
Lpcat4	LPCAT4
Lpgat1	LPGAT1
Lpin1	LPIN1
Lpin2	LPIN2
Lpin3	LPIN3
Lpl	LPL
Lpo	LPO
Lpp	LPP
Lpxn	LPXN
Lrat	LRAT
Lratd1	LRATD1
Lratd2	LRATD2
Lrba	LRBA
Lrch1	LRCH1
Lrch2	LRCH2
Lrch3	LRCH3
Lrch4	LRCH4
Lrcol1	LRCOL1
Lrfn1	LRFN1
Lrfn2	LRFN2
Lrfn3	LRFN3
Lrfn4	LRFN4
Lrfn5	LRFN5
Lrg1	LRG1
Lrguk	LRGUK
Lrif1	LRIF1
Lrig1	LRIG1
Lrig2	LRIG2
Lrig3	LRIG3
Lrit1	LRIT1
Lrit2	LRIT2
Lrit3	LRIT3
Lrmda	LRMDA
Lrp1	LRP1
Lrp10	LRP10
Lrp11	LRP11
Lrp12	LRP12
Lrp1b	LRP1B
Lrp2	LRP2
Lrp2bp	LRP2BP
Lrp3	LRP3
Lrp4	LRP4
Lrp5	LRP5
Lrp6	LRP6
Lrp8	LRP8
Lrpap1	LRPAP1
Lrpprc	LRPPRC
Lrr1	LRR1
Lrrc1	LRRC1
Lrrc10	LRRC10
Lrrc10b	LRRC10B
Lrrc14	LRRC14
Lrrc14b	LRRC14B
Lrrc15	LRRC15
Lrrc17	LRRC17
Lrrc18	LRRC18
Lrrc19	LRRC19
Lrrc2	LRRC2
Lrrc20	LRRC20
Lrrc23	LRRC23
Lrrc24	LRRC24
Lrrc25	LRRC25
Lrrc26	LRRC26
Lrrc27	LRRC27
Lrrc28	LRRC28
Lrrc29	LRRC29
Lrrc3	LRRC3
Lrrc30	LRRC30
Lrrc31	LRRC31
Lrrc32	LRRC32
Lrrc34	LRRC34
Lrrc36	LRRC36
Lrrc37a	LRRC37A3
Lrrc38	LRRC38
Lrrc39	LRRC39
Lrrc3b	LRRC3B
Lrrc3c	LRRC3C
Lrrc4	LRRC4
Lrrc40	LRRC40
Lrrc41	LRRC41
Lrrc42	LRRC42
Lrrc43	LRRC43
Lrrc45	LRRC45
Lrrc46	LRRC46
Lrrc47	LRRC47
Lrrc49	LRRC49
Lrrc4b	LRRC4B
Lrrc4c	LRRC4C
Lrrc51	LRTOMT
Lrrc52	LRRC52
Lrrc53	LRRC53
Lrrc55	LRRC55
Lrrc56	LRRC56
Lrrc57	LRRC57
Lrrc58	LRRC58
Lrrc59	LRRC59
Lrrc6	LRRC6
Lrrc61	LRRC61
Lrrc63	LRRC63
Lrrc66	LRRC66
Lrrc69	LRRC69
Lrrc7	LRRC7
Lrrc71	LRRC71
Lrrc72	LRRC72
Lrrc73	LRRC73
Lrrc74a	LRRC74A
Lrrc74b	LRRC74B
Lrrc75a	LRRC75A
Lrrc75b	LRRC75B
Lrrc8a	LRRC8A
Lrrc8b	LRRC8B
Lrrc8c	LRRC8C
Lrrc8d	LRRC8D
Lrrc8e	LRRC8E
Lrrc9	LRRC9
Lrrcc1	LRRCC1
Lrrd1	LRRD1
Lrrfip1	LRRFIP1
Lrrfip2	LRRFIP2
Lrriq1	LRRIQ1
Lrriq3	LRRIQ3
Lrriq4	LRRIQ4
Lrrk1	LRRK1
Lrrk2	LRRK2
Lrrn1	LRRN1
Lrrn2	LRRN2
Lrrn3	LRRN3
Lrrn4	LRRN4
Lrrn4cl	LRRN4CL
LRRTM1	LRRTM1
Lrrtm2	LRRTM2
Lrrtm3	LRRTM3
Lrrtm4	LRRTM4
Lrsam1	LRSAM1
Lrtm1	LRTM1
Lrtm2	LRTM2
Lrtomt	LRTOMT
Lrtomt	LRTOMT
Lrwd1	LRWD1
Lsamp	LSAMP
Lsg1	LSG1
Lsm1	LSM1
Lsm10	LSM10
Lsm11	LSM11
Lsm12	LSM12
Lsm14a	LSM14A
Lsm14b	LSM14B
Lsm2	LSM2
Lsm3	LSM3
Lsm4	LSM4
Lsm5	LSM5
Lsm6	LSM6
Lsm7	LSM7
Lsm8	LSM8
Lsmem1	LSMEM1
Lsmem2	LSMEM2
Lsp1	LSP1
Lsr	LSR
Lss	LSS
Lst1	LST1
Lta	LTA
Lta4h	LTA4H
Ltb	LTB
Ltb4r	LTB4R
Ltb4r2	LTB4R2
Ltbp1	LTBP1
Ltbp2	LTBP2
Ltbp3	LTBP3
Ltbp4	LTBP4
Ltbr	LTBR
Ltc4s	LTC4S
Ltf	LTF
Ltk	LTK
Ltn1	LTN1
Lto1	LTO1
Ltv1	LTV1
Luc7l	LUC7L
Luc7l2	LUC7L2
Luc7l3	LUC7L3
Lum	LUM
Lurap1	LURAP1
Lurap1l	LURAP1L
Luzp1	LUZP1
Luzp2	LUZP2
Luzp2	LUZP2
Luzp4	LUZP4
Lvrn	LVRN
Lxn	LXN
Ly49i2	NA
Ly49i3	NA
Ly49i4	NA
Ly49i5	NA
Ly49i7	NA
Ly49i9	NA
Ly49s3	NA
Ly49s4	NA
Ly49s5	NA
Ly49s6	NA
Ly49s7	NA
Ly49si1	NA
Ly49si2	NA
Ly49si3	NA
Ly6al	NA
Ly6c	LY6H
Ly6c	LY6L
Ly6d	LY6D
Ly6e	LY6E
Ly6g5b	LY6G5B
Ly6g5c	LY6G5C
Ly6g6c	LY6G6C
Ly6g6d	LY6G6D
Ly6g6e	LY6G6E
Ly6g6f	LY6G6F
Ly6h	LY6H
Ly6i	LY6H
Ly6i	LY6L
Ly6k	LY6K
Ly6l	LY6L
Ly75	LY75
Ly86	LY86
Ly9	LY9
Ly96	LY96
Lyar	LYAR
Lyc2	LYZ
Lyg1	LYG1
Lyg2	LYG2
Lyl1	LYL1
Lyn	LYN
Lynx1	LYNX1
Lypd1	LYPD1
Lypd2	LYPD2
Lypd3	LYPD3
Lypd4	LYPD4
Lypd5	LYPD5
Lypd6	LYPD6
Lypd6b	LYPD6B
Lypd8	LYPD8
Lypla1	LYPLA1
Lypla2	LYPLA2
Lyplal1	LYPLAL1
Lyrm1	LYRM1
Lyrm2	LYRM2
Lyrm4	LYRM4
Lyrm7	LYRM7
Lyrm9	LYRM9
Lysmd1	LYSMD1
Lysmd2	LYSMD2
Lysmd3	LYSMD3
Lysmd4	LYSMD4
Lyst	LYST
Lyve1	LYVE1
Lyz2	LYZ
Lyzl1	LYZL1
Lyzl4	LYZL4
Lyzl6	LYZL6
Lzic	LZIC
Lztfl1	LZTFL1
Lztr1	LZTR1
Lzts1	LZTS1
Lzts2	LZTS2
Lzts3	LZTS3
M1ap	M1AP
M6pr	M6PR
Mab21l1	MAB21L1
Mab21l2	MAB21L2
Mab21l3	MAB21L3
Mab21l4	MAB21L4
Macc1	MACC1
Macf1	MACF1
Macir	MACIR
Maco1	MACO1
Macrod1	MACROD1
Macrod2	MACROD2
Macroh2a1	MACROH2A1
Macroh2a2	MACROH2A2
Mad1l1	MAD1L1
Mad2l1	MAD2L1
Mad2l1bp	MAD2L1BP
Mad2l2	MAD2L2
Madcam1	MADCAM1
Madd	MADD
Maea	MAEA
Mael	MAEL
Maf	MAF
Maf1	MAF1
Mafa	MAFA
Mafb	MAFB
Maff	MAFF
Mafg	MAFG
Mafk	MAFK
Mag	MAG
Magea10	MAGEA10
Magea13	MAGEA13P
Magea4	MAGEA1
Magea4	MAGEA10
Magea4	MAGEA11
Magea4	MAGEA12
Magea4	MAGEA2B
Magea4	MAGEA3
Magea4	MAGEA4
Magea4	MAGEA6
Magea4	MAGEA9
Magea4	MAGEA9B
Magea4	MAGEC1
Magea4	MAGEC2
Magea4	MAGEC3
Magea8	MAGEA1
Magea8	MAGEA10
Magea8	MAGEA12
Magea8	MAGEA2B
Magea8	MAGEA3
Magea8	MAGEA4
Magea8	MAGEA6
Magea8	MAGEA8
Magea8	MAGEA9
Magea8	MAGEA9B
Magea8	MAGEC1
Magea8	MAGEC2
Magea8	MAGEC3
Magea9	MAGEA9
Mageb1	MAGEB4
Mageb16	MAGEB16
Mageb18	MAGEB18
mageb1l1	MAGEB4
Mageb2	MAGEB2
Mageb3	MAGEB3
Mageb4	MAGEB17
Mageb5	MAGEB5
Mageb6	MAGEB6
Mageb7	MAGEB4
Magebl1	MAGEB6B
Magec2	MAGEC2
Maged1	MAGED1
Maged2	MAGED2
Magee1	MAGEE1
Magee2	MAGEE2
Mageh1	MAGEH1
Magel2	MAGEL2
Magi1	MAGI1
Magi2	MAGI2
Magi3	MAGI3
Magix	MAGIX
Magoh	MAGOH
Magohb	MAGOHB
Magt1	MAGT1
Maip1	MAIP1
Majin	MAJIN
Mak	MAK
Mak16	MAK16
Mal	MAL
Mal2	MAL2
Mall	MALL
Malrd1	MALRD1
Malsu1	MALSU1
Malt1	MALT1
Mamdc2	MAMDC2
Mamdc4	MAMDC4
Maml1	MAML1
Maml2	MAML2
Maml3	MAML3
Mamstr	MAMSTR
Man1a1	MAN1A1
Man1a2	MAN1A2
Man1b1	MAN1B1
Man1c1	MAN1C1
Man2a1	MAN2A1
Man2a2	MAN2A2
Man2b1	MAN2B1
Man2b2	MAN2B2
Man2c1	MAN2C1
Manba	MANBA
Manbal	MANBAL
Manea	MANEA
Maneal	MANEAL
Manf	MANF
Mansc1	MANSC1
Mansc4	MANSC4
Maoa	MAOA
Maob	MAOB
Map10	MAP10
Map1a	MAP1A
Map1b	MAP1B
Map1lc3a	MAP1LC3A
Map1lc3b	MAP1LC3B
Map1s	MAP1S
Map2	MAP2
Map2k1	MAP2K1
Map2k2	MAP2K2
Map2k3	MAP2K3
Map2k4	MAP2K4
Map2k5	MAP2K5
Map2k6	MAP2K6
Map2k7	MAP2K7
Map3k1	MAP3K1
Map3k10	MAP3K10
Map3k11	MAP3K11
Map3k12	MAP3K12
Map3k13	MAP3K13
Map3k14	MAP3K14
Map3k15	MAP3K15
Map3k19	MAP3K19
Map3k2	MAP3K2
Map3k20	MAP3K20
Map3k21	MAP3K21
Map3k3	MAP3K3
Map3k4	MAP3K4
Map3k5	MAP3K5
Map3k6	MAP3K6
Map3k7	MAP3K7
Map3k7cl	MAP3K7CL
Map3k8	MAP3K8
Map3k9	MAP3K9
Map4	MAP4
Map4k1	MAP4K1
Map4k2	MAP4K2
Map4k3	MAP4K3
Map4k4	MAP4K4
Map4k5	MAP4K5
Map6	MAP6
Map6d1	MAP6D1
Map7	MAP7
Map7d1	MAP7D1
Map7d2	MAP7D2
Map7d3	MAP7D3
Map9	MAP9
Mapk1	MAPK1
Mapk10	MAPK10
Mapk11	MAPK11
Mapk12	MAPK12
Mapk13	MAPK13
Mapk14	MAPK14
Mapk15	MAPK15
Mapk1ip1	MAPK1IP1L
Mapk1ip1l	MAPK1IP1L
Mapk3	MAPK3
Mapk4	MAPK4
Mapk6	MAPK6
Mapk7	MAPK7
Mapk8	MAPK8
Mapk8ip1	MAPK8IP1
Mapk8ip2	MAPK8IP2
Mapk8ip3	MAPK8IP3
Mapk9	MAPK9
Mapkap1	MAPKAP1
Mapkapk2	MAPKAPK2
Mapkapk3	MAPKAPK3
Mapkapk5	MAPKAPK5
Mapkbp1	MAPKBP1
Mapre1	MAPRE1
Mapre2	MAPRE2
Mapre3	MAPRE3
Mapt	MAPT
Marchf1	MARCHF1
Marchf10	MARCHF10
Marchf11	MARCHF11
Marchf2	MARCHF2
Marchf3	MARCHF3
Marchf4	MARCHF4
Marchf5	MARCHF5
Marchf6	MARCHF6
Marchf7	MARCHF7
Marchf8	MARCHF8
Marchf9	MARCHF9
Marcks	MARCKS
Marcksl1	MARCKSL1
Marco	MARCO
Marf1	MARF1
Mark1	MARK1
Mark2	MARK2
Mark3	MARK3
Mark4	MARK4
Mars1	MARS1
Mars2	MARS2
Marveld1	MARVELD1
Marveld2	MARVELD2
Marveld3	MARVELD3
Mas1	MAS1
Mas1l	MAS1L
Masp1	MASP1
Masp2	MASP2
MAST1	MAST1
Mast2	MAST2
Mast3	MAST3
Mast4	MAST4
Mastl	MASTL
Mat1a	MAT1A
Mat2a	MAT2A
Mat2b	MAT2B
Matk	MATK
Matn1	MATN1
Matn2	MATN2
Matn3	MATN3
Matn4	MATN4
Matr3	MATR3
Mau2	MAU2
Mavs	MAVS
Max	MAX
Maz	MAZ
Mb	MB
Mb21d2	MB21D2
Mbd1	MBD1
Mbd2	MBD2
Mbd3	MBD3
Mbd3l1	MBD3L1
Mbd3l2	MBD3L2
mbd3l2l	NA
Mbd4	MBD4
Mbd6	MBD6
Mbip	MBIP
Mbl1	MBL1P
Mbl2	MBL2
Mblac1	MBLAC1
Mblac2	MBLAC2
Mbnl1	MBNL1
Mbnl2	MBNL2
Mbnl3	MBNL3
Mboat1	MBOAT1
Mboat2	MBOAT2
Mboat4	MBOAT4
Mboat7	MBOAT7
Mboat7l1	MBOAT7
Mbp	MBP
Mbtd1	MBTD1
Mbtps1	MBTPS1
Mbtps2	MBTPS2
Mc1r	MC1R
Mc2r	MC2R
Mc3r	MC3R
Mc4r	MC4R
Mc5r	MC5R
Mcam	MCAM
Mcart1	SLC25A52
Mcat	MCAT
Mcc	MCC
Mcc	MCC
Mccc1	MCCC1
Mccc2	MCCC2
Mcee	MCEE
Mcemp1	MCEMP1
Mcf2	MCF2
Mcf2l	MCF2L
Mcfd2	MCFD2
Mchr1	MCHR1
Mcidas	MCIDAS
Mcl1	MCL1
Mcm10	MCM10
Mcm2	MCM2
Mcm3	MCM3
Mcm3ap	MCM3AP
Mcm4	MCM4
Mcm5	MCM5
Mcm6	MCM6
Mcm7	MCM7
Mcm8	MCM8
Mcm9	MCM9
Mcmbp	MCMBP
Mcmdc1	MCM9
Mcmdc2	MCMDC2
Mcoln1	MCOLN1
Mcoln2	MCOLN2
Mcoln3	MCOLN3
Mcph1	MCPH1
Mcpt1	NA
Mcpt10	NA
Mcpt1l1	CMA1
Mcpt1l2	NA
Mcpt1l3	NA
Mcpt1l4	NA
Mcpt2	NA
Mcpt3	NA
Mcpt4	NA
Mcpt4l1	NA
Mcpt8	NA
Mcpt8l2	NA
Mcpt8l3	NA
Mcpt9	NA
Mcrip1	MCRIP1
Mcrip2	MCRIP2
Mcrs1	MCRS1
Mctp1	MCTP1
Mctp2	MCTP2
Mcts1	MCTS1
Mcts2	NA
Mcu	MCU
Mcub	MCUB
Mcub	MCUB
Mcur1	MCUR1
Mdc1	MDC1
Mdfi	MDFI
Mdfic	MDFIC
Mdfic2	MDFIC2
Mdga1	MDGA1
Mdga2	MDGA2
Mdh1	MDH1
Mdh1b	MDH1B
Mdh2	MDH2
Mdk	MDK
Mdm1	MDM1
Mdm2	MDM2
Mdm4	MDM4
Mdn1	MDN1
Mdp1	MDP1
